Email,First Name,Last Name,Checkin Date (UTC)
john.doe@example.com,John,Doe,2024-03-20 09:30:00
jane.smith@example.com,Jane,Smith,2024-03-20 09:45:00
peter.jones@example.com,Peter,Jones,2024-03-20 10:00:00
mary.wilson@example.com,Mary,Wilson,2024-03-20 10:15:00
david.brown@example.com,David,Brown,2024-03-20 10:30:00
sarah.davis@example.com,Sarah,Davis,2024-03-20 10:45:00
michael.taylor@example.com,Michael,Taylor,2024-03-20 11:00:00
emma.anderson@example.com,Emma,Anderson,2024-03-20 11:15:00
james.martin@example.com,James,Martin,2024-03-20 11:30:00
sophia.white@example.com,Sophia,White,2024-03-20 11:45:00
